Adam  Epoch # 8600/20000 | Loss: 1.7421e-02 =  <2.12e-03> <1.96e-03> <3.40e-04> <5.88e-03> <3.99e-05> <1.93e-03> <5.01e-04> <2.47e-03> <7.94e-05> <1.26e-03> <6.91e-04> <1.51e-04> 
Valid Epoch # 8600/20000 | Loss: 2.2551e-04 
Adam  Epoch # 8700/20000 | Loss: 1.4227e-02 =  <2.08e-03> <1.86e-03> <3.09e-04> <5.60e-03> <1.59e-05> <3.44e-04> <3.56e-04> <2.42e-03> <6.13e-05> <3.61e-04> <6.66e-04> <1.50e-04> 
Valid Epoch # 8700/20000 | Loss: 2.2322e-04 
Adam  Epoch # 8800/20000 | Loss: 1.3822e-02 =  <2.03e-03> <1.80e-03> <2.99e-04> <5.44e-03> <1.55e-05> <3.37e-04> <3.49e-04> <2.37e-03> <5.88e-05> <3.48e-04> <6.39e-04> <1.44e-04> 
Valid Epoch # 8800/20000 | Loss: 2.1812e-04 
Adam  Epoch # 8900/20000 | Loss: 1.3633e-02 =  <1.98e-03> <1.74e-03> <2.95e-04> <5.39e-03> <1.68e-05> <3.68e-04> <3.42e-04> <2.31e-03> <5.86e-05> <3.65e-04> <6.31e-04> <1.40e-04> 
Valid Epoch # 8900/20000 | Loss: 1.9585e-04 
Adam  Epoch # 9000/20000 | Loss: 1.3158e-02 =  <1.92e-03> <1.68e-03> <2.86e-04> <5.22e-03> <1.50e-05> <3.25e-04> <3.22e-04> <2.27e-03> <5.51e-05> <3.21e-04> <6.01e-04> <1.36e-04> 
Valid Epoch # 9000/20000 | Loss: 2.0184e-04 
Adam  Epoch # 9100/20000 | Loss: 3.9104e-02 =  <1.88e-03> <1.95e-03> <9.77e-04> <5.45e-03> <2.13e-04> <1.49e-02> <9.66e-04> <2.21e-03> <1.85e-04> <8.93e-03> <1.34e-03> <1.35e-04> 
Valid Epoch # 9100/20000 | Loss: 2.4485e-04 
Adam  Epoch # 9200/20000 | Loss: 1.2551e-02 =  <1.82e-03> <1.58e-03> <2.73e-04> <5.02e-03> <1.47e-05> <3.20e-04> <2.98e-04> <2.18e-03> <5.23e-05> <2.98e-04> <5.65e-04> <1.29e-04> 
Valid Epoch # 9200/20000 | Loss: 1.8504e-04 
Adam  Epoch # 9300/20000 | Loss: 1.2194e-02 =  <1.77e-03> <1.53e-03> <2.67e-04> <4.86e-03> <1.47e-05> <3.07e-04> <2.93e-04> <2.14e-03> <4.96e-05> <2.85e-04> <5.47e-04> <1.25e-04> 
Valid Epoch # 9300/20000 | Loss: 1.8553e-04 
Adam  Epoch # 9400/20000 | Loss: 2.6469e-02 =  <1.76e-03> <1.67e-03> <7.07e-04> <4.93e-03> <2.01e-04> <8.09e-03> <4.05e-04> <2.11e-03> <1.31e-04> <5.38e-03> <9.61e-04> <1.23e-04> 
Valid Epoch # 9400/20000 | Loss: 1.6944e-04 
Adam  Epoch # 9500/20000 | Loss: 1.1636e-02 =  <1.68e-03> <1.44e-03> <2.58e-04> <4.67e-03> <1.44e-05> <2.95e-04> <2.69e-04> <2.06e-03> <4.65e-05> <2.62e-04> <5.20e-04> <1.19e-04> 
Valid Epoch # 9500/20000 | Loss: 1.7331e-04 
Adam  Epoch # 9600/20000 | Loss: 1.1317e-02 =  <1.63e-03> <1.41e-03> <2.52e-04> <4.52e-03> <1.42e-05> <2.89e-04> <2.67e-04> <2.02e-03> <4.44e-05> <2.52e-04> <5.01e-04> <1.15e-04> 
Valid Epoch # 9600/20000 | Loss: 1.7228e-04 
Adam  Epoch # 9700/20000 | Loss: 1.2621e-02 =  <1.59e-03> <1.39e-03> <2.61e-04> <4.55e-03> <2.44e-05> <1.16e-03> <2.90e-04> <1.98e-03> <5.58e-05> <7.12e-04> <4.94e-04> <1.11e-04> 
Valid Epoch # 9700/20000 | Loss: 1.5568e-04 
Adam  Epoch # 9800/20000 | Loss: 1.0829e-02 =  <1.55e-03> <1.34e-03> <2.45e-04> <4.34e-03> <1.35e-05> <2.78e-04> <2.45e-04> <1.95e-03> <4.12e-05> <2.32e-04> <4.80e-04> <1.10e-04> 
Valid Epoch # 9800/20000 | Loss: 1.6196e-04 
Adam  Epoch # 9900/20000 | Loss: 1.0538e-02 =  <1.51e-03> <1.31e-03> <2.39e-04> <4.21e-03> <1.30e-05> <2.72e-04> <2.43e-04> <1.91e-03> <3.93e-05> <2.23e-04> <4.64e-04> <1.07e-04> 
Valid Epoch # 9900/20000 | Loss: 1.6083e-04 
Adam  Epoch #10000/20000 | Loss: 1.1043e-02 =  <1.47e-03> <1.29e-03> <2.36e-04> <4.21e-03> <1.52e-05> <6.43e-04> <3.03e-04> <1.88e-03> <4.17e-05> <3.96e-04> <4.66e-04> <1.02e-04> 
Valid Epoch #10000/20000 | Loss: 1.4771e-04 
Adam  Epoch #10100/20000 | Loss: 1.0080e-02 =  <1.44e-03> <1.25e-03> <2.33e-04> <4.03e-03> <1.19e-05> <2.61e-04> <2.24e-04> <1.85e-03> <3.61e-05> <2.06e-04> <4.45e-04> <1.02e-04> 
Valid Epoch #10100/20000 | Loss: 1.5189e-04 
Adam  Epoch #10200/20000 | Loss: 9.8153e-03 =  <1.40e-03> <1.23e-03> <2.27e-04> <3.90e-03> <1.13e-05> <2.57e-04> <2.23e-04> <1.81e-03> <3.45e-05> <1.99e-04> <4.28e-04> <9.92e-05> 
Valid Epoch #10200/20000 | Loss: 1.5074e-04 
Adam  Epoch #10300/20000 | Loss: 9.6860e-03 =  <1.37e-03> <1.20e-03> <2.27e-04> <3.87e-03> <1.16e-05> <2.58e-04> <2.09e-04> <1.78e-03> <3.33e-05> <1.98e-04> <4.30e-04> <9.60e-05> 
Valid Epoch #10300/20000 | Loss: 1.4156e-04 
Adam  Epoch #10400/20000 | Loss: 9.4068e-03 =  <1.34e-03> <1.18e-03> <2.21e-04> <3.74e-03> <1.01e-05> <2.44e-04> <2.06e-04> <1.75e-03> <3.14e-05> <1.84e-04> <4.12e-04> <9.49e-05> 
Valid Epoch #10400/20000 | Loss: 1.4315e-04 
Adam  Epoch #10500/20000 | Loss: 1.7031e-02 =  <1.31e-03> <1.25e-03> <4.88e-04> <3.67e-03> <7.05e-05> <4.37e-03> <4.44e-04> <1.72e-03> <6.03e-05> <2.65e-03> <9.05e-04> <9.44e-05> 
Valid Epoch #10500/20000 | Loss: 1.5092e-04 
Adam  Epoch #10600/20000 | Loss: 9.0855e-03 =  <1.29e-03> <1.15e-03> <2.16e-04> <3.62e-03> <8.95e-06> <2.44e-04> <1.85e-04> <1.69e-03> <2.93e-05> <1.76e-04> <3.95e-04> <9.00e-05> 
Valid Epoch #10600/20000 | Loss: 1.3258e-04 
Adam  Epoch #10700/20000 | Loss: 8.8369e-03 =  <1.25e-03> <1.13e-03> <2.13e-04> <3.49e-03> <8.45e-06> <2.28e-04> <1.86e-04> <1.66e-03> <2.73e-05> <1.67e-04> <3.83e-04> <8.91e-05> 
Valid Epoch #10700/20000 | Loss: 1.3399e-04 
Adam  Epoch #10800/20000 | Loss: 8.6178e-03 =  <1.22e-03> <1.11e-03> <2.08e-04> <3.39e-03> <8.19e-06> <2.22e-04> <1.84e-04> <1.63e-03> <2.61e-05> <1.61e-04> <3.70e-04> <8.69e-05> 
Valid Epoch #10800/20000 | Loss: 1.3285e-04 
Adam  Epoch #10900/20000 | Loss: 8.7356e-03 =  <1.20e-03> <1.10e-03> <2.04e-04> <3.39e-03> <1.00e-05> <3.53e-04> <1.73e-04> <1.60e-03> <2.79e-05> <2.33e-04> <3.57e-04> <8.33e-05> 
Valid Epoch #10900/20000 | Loss: 1.2464e-04 
Adam  Epoch #11000/20000 | Loss: 8.2919e-03 =  <1.18e-03> <1.09e-03> <2.03e-04> <3.25e-03> <7.44e-06> <2.12e-04> <1.70e-04> <1.57e-03> <2.40e-05> <1.52e-04> <3.52e-04> <8.38e-05> 
Valid Epoch #11000/20000 | Loss: 1.2601e-04 
Adam  Epoch #11100/20000 | Loss: 7.2250e-02 =  <1.20e-03> <1.88e-03> <2.03e-03> <3.99e-03> <4.06e-04> <3.45e-02> <2.52e-03> <1.54e-03> <3.16e-04> <2.04e-02> <3.37e-03> <9.68e-05> 
Valid Epoch #11100/20000 | Loss: 1.9251e-04 
Adam  Epoch #11200/20000 | Loss: 8.0010e-03 =  <1.14e-03> <1.06e-03> <1.96e-04> <3.14e-03> <6.80e-06> <2.07e-04> <1.56e-04> <1.52e-03> <2.23e-05> <1.44e-04> <3.34e-04> <8.03e-05> 
Valid Epoch #11200/20000 | Loss: 1.1861e-04 
Adam  Epoch #11300/20000 | Loss: 7.8026e-03 =  <1.11e-03> <1.05e-03> <1.93e-04> <3.03e-03> <6.73e-06> <1.97e-04> <1.57e-04> <1.49e-03> <2.12e-05> <1.39e-04> <3.21e-04> <7.91e-05> 
Valid Epoch #11300/20000 | Loss: 1.1906e-04 
Adam  Epoch #11400/20000 | Loss: 1.7123e-02 =  <1.10e-03> <1.25e-03> <4.16e-04> <3.11e-03> <1.61e-04> <5.01e-03> <3.03e-04> <1.47e-03> <1.06e-04> <3.69e-03> <4.23e-04> <8.07e-05> 
Valid Epoch #11400/20000 | Loss: 1.1726e-04 
Adam  Epoch #11500/20000 | Loss: 7.5384e-03 =  <1.08e-03> <1.03e-03> <1.88e-04> <2.93e-03> <6.32e-06> <1.89e-04> <1.45e-04> <1.44e-03> <1.97e-05> <1.33e-04> <3.05e-04> <7.65e-05> 
Valid Epoch #11500/20000 | Loss: 1.1264e-04 
Adam  Epoch #11600/20000 | Loss: 7.3618e-03 =  <1.05e-03> <1.02e-03> <1.85e-04> <2.84e-03> <6.24e-06> <1.84e-04> <1.46e-04> <1.42e-03> <1.90e-05> <1.29e-04> <2.92e-04> <7.48e-05> 
Valid Epoch #11600/20000 | Loss: 1.1251e-04 
Adam  Epoch #11700/20000 | Loss: 7.6374e-03 =  <1.04e-03> <1.01e-03> <2.02e-04> <2.84e-03> <8.26e-06> <3.25e-04> <1.71e-04> <1.40e-03> <1.87e-05> <2.03e-04> <3.46e-04> <7.15e-05> 
Valid Epoch #11700/20000 | Loss: 1.0682e-04 
Adam  Epoch #11800/20000 | Loss: 7.1221e-03 =  <1.02e-03> <9.95e-04> <1.80e-04> <2.74e-03> <5.81e-06> <1.76e-04> <1.37e-04> <1.38e-03> <1.78e-05> <1.24e-04> <2.76e-04> <7.26e-05> 
Valid Epoch #11800/20000 | Loss: 1.0691e-04 
Adam  Epoch #11900/20000 | Loss: 1.0913e-02 =  <1.01e-03> <1.03e-03> <2.79e-04> <2.74e-03> <2.69e-05> <2.28e-03> <2.98e-04> <1.35e-03> <3.56e-05> <1.36e-03> <4.31e-04> <7.20e-05> 
Valid Epoch #11900/20000 | Loss: 1.0948e-04 
Adam  Epoch #12000/20000 | Loss: 6.9147e-03 =  <9.97e-04> <9.74e-04> <1.76e-04> <2.65e-03> <6.04e-06> <1.74e-04> <1.27e-04> <1.33e-03> <1.67e-05> <1.21e-04> <2.65e-04> <7.00e-05> 
Valid Epoch #12000/20000 | Loss: 1.0108e-04 
Adam  Epoch #12100/20000 | Loss: 6.7447e-03 =  <9.77e-04> <9.64e-04> <1.72e-04> <2.57e-03> <5.42e-06> <1.65e-04> <1.28e-04> <1.31e-03> <1.63e-05> <1.15e-04> <2.51e-04> <6.89e-05> 
Valid Epoch #12100/20000 | Loss: 1.0148e-04 
Adam  Epoch #12200/20000 | Loss: 1.4529e-02 =  <9.53e-04> <1.17e-03> <2.72e-04> <2.76e-03> <1.47e-04> <4.19e-03> <2.80e-04> <1.28e-03> <1.23e-04> <3.00e-03> <2.58e-04> <8.19e-05> 
Valid Epoch #12200/20000 | Loss: 9.4531e-05 
Adam  Epoch #12300/20000 | Loss: 6.5496e-03 =  <9.54e-04> <9.44e-04> <1.68e-04> <2.50e-03> <4.97e-06> <1.59e-04> <1.21e-04> <1.27e-03> <1.55e-05> <1.11e-04> <2.38e-04> <6.74e-05> 
